Step 0: {'loss': 129055.1953125, 'mse_loss': 129055.1953125, 'sparsity_loss': 0.0, 'l0': 32760.8359375, 'dead_features': 0}
Step 4800: {'loss': 32521.11328125, 'mse_loss': 2932.226806640625, 'sparsity_loss': 29588.88671875, 'l0': 3460.2841796875, 'dead_features': 974}
Step 4900: {'loss': 29051.587890625, 'mse_loss': 1218.991943359375, 'sparsity_loss': 27832.595703125, 'l0': 3356.62060546875, 'dead_features': 1043}
Step 5000: {'loss': 30911.388671875, 'mse_loss': 1574.99951171875, 'sparsity_loss': 29336.388671875, 'l0': 3445.57373046875, 'dead_features': 1129}
Step 5100: {'loss': 23684.265625, 'mse_loss': 1234.01904296875, 'sparsity_loss': 22450.24609375, 'l0': 3016.68115234375, 'dead_features': 1195}
Step 5200: {'loss': 29500.00390625, 'mse_loss': 2146.8193359375, 'sparsity_loss': 27353.185546875, 'l0': 3327.759765625, 'dead_features': 1271}
Step 5300: {'loss': 28889.55078125, 'mse_loss': 930.037841796875, 'sparsity_loss': 27959.513671875, 'l0': 3364.2197265625, 'dead_features': 1303}
Step 5400: {'loss': 28836.431640625, 'mse_loss': 1379.94677734375, 'sparsity_loss': 27456.484375, 'l0': 3333.99951171875, 'dead_features': 1393}
Step 5500: {'loss': 23786.486328125, 'mse_loss': 1186.546875, 'sparsity_loss': 22599.939453125, 'l0': 3026.6552734375, 'dead_features': 1472}
Step 5600: {'loss': 27709.068359375, 'mse_loss': 1719.378662109375, 'sparsity_loss': 25989.689453125, 'l0': 3244.263671875, 'dead_features': 1528}
Step 5700: {'loss': 23356.96484375, 'mse_loss': 1563.2254638671875, 'sparsity_loss': 21793.740234375, 'l0': 2972.54052734375, 'dead_features': 1584}
Step 5800: {'loss': 28156.62109375, 'mse_loss': 1697.604736328125, 'sparsity_loss': 26459.015625, 'l0': 3273.24560546875, 'dead_features': 1836}
Step 5900: {'loss': 22842.2890625, 'mse_loss': 1548.6551513671875, 'sparsity_loss': 21293.634765625, 'l0': 2938.4677734375, 'dead_features': 1776}
Step 6000: {'loss': 25450.759765625, 'mse_loss': 1434.5997314453125, 'sparsity_loss': 24016.16015625, 'l0': 3119.4296875, 'dead_features': 1802}
Step 6100: {'loss': 26404.837890625, 'mse_loss': 1257.4049072265625, 'sparsity_loss': 25147.43359375, 'l0': 3191.58837890625, 'dead_features': 1907}
Step 6200: {'loss': 25096.81640625, 'mse_loss': 1864.290771484375, 'sparsity_loss': 23232.525390625, 'l0': 3068.44384765625, 'dead_features': 1965}
Step 6300: {'loss': 25233.8046875, 'mse_loss': 1113.9454345703125, 'sparsity_loss': 24119.859375, 'l0': 3126.11376953125, 'dead_features': 1971}
Step 6400: {'loss': 29213.203125, 'mse_loss': 3568.6767578125, 'sparsity_loss': 25644.525390625, 'l0': 3222.78173828125, 'dead_features': 2065}
Step 6500: {'loss': 29931.734375, 'mse_loss': 2843.51611328125, 'sparsity_loss': 27088.21875, 'l0': 3311.69970703125, 'dead_features': 2109}
Step 6600: {'loss': 24766.796875, 'mse_loss': 910.4300537109375, 'sparsity_loss': 23856.3671875, 'l0': 3109.10107421875, 'dead_features': 2184}
Step 6700: {'loss': 21950.0390625, 'mse_loss': 1511.25439453125, 'sparsity_loss': 20438.78515625, 'l0': 2879.28564453125, 'dead_features': 2335}
Step 6800: {'loss': 24638.857421875, 'mse_loss': 1887.672119140625, 'sparsity_loss': 22751.185546875, 'l0': 3036.69921875, 'dead_features': 2353}
Step 6900: {'loss': 20895.232421875, 'mse_loss': 1228.400634765625, 'sparsity_loss': 19666.83203125, 'l0': 2824.76953125, 'dead_features': 2363}
Step 7000: {'loss': 23583.130859375, 'mse_loss': 1455.21484375, 'sparsity_loss': 22127.916015625, 'l0': 2995.0908203125, 'dead_features': 2382}
Step 7100: {'loss': 26250.037109375, 'mse_loss': 1123.429443359375, 'sparsity_loss': 25126.607421875, 'l0': 3190.27490234375, 'dead_features': 2420}
Step 7200: {'loss': 21691.916015625, 'mse_loss': 1236.98046875, 'sparsity_loss': 20454.935546875, 'l0': 2880.4150390625, 'dead_features': 2575}
Step 7300: {'loss': 24969.87109375, 'mse_loss': 1586.4508056640625, 'sparsity_loss': 23383.419921875, 'l0': 3078.32763671875, 'dead_features': 2679}
Step 7400: {'loss': 21700.4140625, 'mse_loss': 1468.614990234375, 'sparsity_loss': 20231.798828125, 'l0': 2864.7705078125, 'dead_features': 2732}
Step 7500: {'loss': 29288.599609375, 'mse_loss': 917.722412109375, 'sparsity_loss': 28370.876953125, 'l0': 3388.7314453125, 'dead_features': 2777}
Step 7600: {'loss': 24891.31640625, 'mse_loss': 814.0802001953125, 'sparsity_loss': 24077.236328125, 'l0': 3123.3681640625, 'dead_features': 2747}
Step 7700: {'loss': 25412.740234375, 'mse_loss': 1047.7109375, 'sparsity_loss': 24365.029296875, 'l0': 3141.8603515625, 'dead_features': 2823}
Step 7800: {'loss': 25953.66015625, 'mse_loss': 714.8285522460938, 'sparsity_loss': 25238.83203125, 'l0': 3197.3466796875, 'dead_features': 2855}
Step 7900: {'loss': 22700.57421875, 'mse_loss': 1838.51025390625, 'sparsity_loss': 20862.064453125, 'l0': 2908.7412109375, 'dead_features': 2959}
Step 8000: {'loss': 24252.509765625, 'mse_loss': 1480.1436767578125, 'sparsity_loss': 22772.365234375, 'l0': 3038.10302734375, 'dead_features': 3054}
Step 8100: {'loss': 20741.25390625, 'mse_loss': 1371.138916015625, 'sparsity_loss': 19370.115234375, 'l0': 2803.53125, 'dead_features': 3179}
Step 8200: {'loss': 21780.880859375, 'mse_loss': 1236.586669921875, 'sparsity_loss': 20544.294921875, 'l0': 2886.65625, 'dead_features': 3223}
Step 8300: {'loss': 28359.607421875, 'mse_loss': 881.0562744140625, 'sparsity_loss': 27478.55078125, 'l0': 3335.3310546875, 'dead_features': 3237}
Step 8400: {'loss': 28358.833984375, 'mse_loss': 997.61328125, 'sparsity_loss': 27361.220703125, 'l0': 3328.24560546875, 'dead_features': 3266}
Step 8500: {'loss': 25355.033203125, 'mse_loss': 1599.852783203125, 'sparsity_loss': 23755.1796875, 'l0': 3102.54296875, 'dead_features': 3342}
Step 8600: {'loss': 27750.298828125, 'mse_loss': 1147.104248046875, 'sparsity_loss': 26603.1953125, 'l0': 3282.09716796875, 'dead_features': 3376}
Step 8700: {'loss': 24305.294921875, 'mse_loss': 895.5625, 'sparsity_loss': 23409.732421875, 'l0': 3080.0478515625, 'dead_features': 3448}
Step 8800: {'loss': 26940.869140625, 'mse_loss': 1375.80224609375, 'sparsity_loss': 25565.06640625, 'l0': 3217.81591796875, 'dead_features': 3554}
Step 8900: {'loss': 22849.931640625, 'mse_loss': 1129.51904296875, 'sparsity_loss': 21720.412109375, 'l0': 2967.5693359375, 'dead_features': 3674}
Step 9000: {'loss': 26059.783203125, 'mse_loss': 1250.077392578125, 'sparsity_loss': 24809.705078125, 'l0': 3170.21923828125, 'dead_features': 3748}
Step 9100: {'loss': 22572.271484375, 'mse_loss': 1071.747802734375, 'sparsity_loss': 21500.5234375, 'l0': 2952.611328125, 'dead_features': 3831}
Step 9200: {'loss': 22106.984375, 'mse_loss': 1100.2880859375, 'sparsity_loss': 21006.697265625, 'l0': 2918.7373046875, 'dead_features': 3882}
Step 9300: {'loss': 26373.197265625, 'mse_loss': 1686.969482421875, 'sparsity_loss': 24686.228515625, 'l0': 3162.3701171875, 'dead_features': 3906}
Step 9400: {'loss': 27169.9453125, 'mse_loss': 903.7823486328125, 'sparsity_loss': 26266.162109375, 'l0': 3261.36767578125, 'dead_features': 4009}
Step 9500: {'loss': 22864.689453125, 'mse_loss': 1595.892822265625, 'sparsity_loss': 21268.796875, 'l0': 2936.76513671875, 'dead_features': 4030}
Step 9600: {'loss': 21825.474609375, 'mse_loss': 1499.17138671875, 'sparsity_loss': 20326.302734375, 'l0': 2871.40673828125, 'dead_features': 4053}
Step 9700: {'loss': 27784.73046875, 'mse_loss': 664.1503295898438, 'sparsity_loss': 27120.580078125, 'l0': 3313.66552734375, 'dead_features': 4125}
Step 9800: {'loss': 77854.421875, 'mse_loss': 53884.72265625, 'sparsity_loss': 23969.703125, 'l0': 3116.43017578125, 'dead_features': 4174}
Step 9900: {'loss': 27205.361328125, 'mse_loss': 949.8651123046875, 'sparsity_loss': 26255.49609375, 'l0': 3260.70947265625, 'dead_features': 4343}
Step 10000: {'loss': 18819.2734375, 'mse_loss': 1271.8541259765625, 'sparsity_loss': 17547.419921875, 'l0': 2669.33349609375, 'dead_features': 4482}
Step 10100: {'loss': 34777.2421875, 'mse_loss': 12100.2412109375, 'sparsity_loss': 22677.001953125, 'l0': 3031.77685546875, 'dead_features': 4593}
Step 10200: {'loss': 24457.458984375, 'mse_loss': 802.0037231445312, 'sparsity_loss': 23655.455078125, 'l0': 3096.06591796875, 'dead_features': 4680}
Step 10300: {'loss': 23147.193359375, 'mse_loss': 1040.142822265625, 'sparsity_loss': 22107.05078125, 'l0': 2993.68798828125, 'dead_features': 4811}
Step 10400: {'loss': 22713.0234375, 'mse_loss': 1120.17578125, 'sparsity_loss': 21592.84765625, 'l0': 2958.90087890625, 'dead_features': 4924}
Step 10500: {'loss': 29197.9375, 'mse_loss': 798.2568359375, 'sparsity_loss': 28399.681640625, 'l0': 3390.44091796875, 'dead_features': 5003}
Step 10600: {'loss': 25109.6953125, 'mse_loss': 1153.5595703125, 'sparsity_loss': 23956.134765625, 'l0': 3115.5537109375, 'dead_features': 5196}
Step 10700: {'loss': 23159.73828125, 'mse_loss': 1164.2408447265625, 'sparsity_loss': 21995.498046875, 'l0': 2986.17578125, 'dead_features': 5306}
Step 10800: {'loss': 24404.09765625, 'mse_loss': 1042.690185546875, 'sparsity_loss': 23361.408203125, 'l0': 3076.8876953125, 'dead_features': 5381}
Step 10900: {'loss': 24807.7421875, 'mse_loss': 1130.0625, 'sparsity_loss': 23677.6796875, 'l0': 3097.5107421875, 'dead_features': 5491}
Step 11000: {'loss': 27884.806640625, 'mse_loss': 567.8885498046875, 'sparsity_loss': 27316.91796875, 'l0': 3325.56591796875, 'dead_features': 5631}
Step 11100: {'loss': 21952.20703125, 'mse_loss': 992.2447509765625, 'sparsity_loss': 20959.962890625, 'l0': 2915.51123046875, 'dead_features': 5778}
Step 11200: {'loss': 22658.01171875, 'mse_loss': 1311.0477294921875, 'sparsity_loss': 21346.96484375, 'l0': 2942.1201171875, 'dead_features': 5845}
Step 11300: {'loss': 24176.49609375, 'mse_loss': 1303.9482421875, 'sparsity_loss': 22872.546875, 'l0': 3044.734375, 'dead_features': 5965}
Step 11400: {'loss': 25076.84765625, 'mse_loss': 1168.678955078125, 'sparsity_loss': 23908.16796875, 'l0': 3112.453125, 'dead_features': 6141}
Step 11500: {'loss': 21156.396484375, 'mse_loss': 1187.8985595703125, 'sparsity_loss': 19968.498046875, 'l0': 2846.19873046875, 'dead_features': 6339}
Step 11600: {'loss': 22678.2890625, 'mse_loss': 998.818115234375, 'sparsity_loss': 21679.470703125, 'l0': 2964.7900390625, 'dead_features': 6513}
Step 11700: {'loss': 26070.8359375, 'mse_loss': 656.801025390625, 'sparsity_loss': 25414.03515625, 'l0': 3208.35595703125, 'dead_features': 6622}
Step 11800: {'loss': 23747.11328125, 'mse_loss': 1356.627197265625, 'sparsity_loss': 22390.486328125, 'l0': 3012.68994140625, 'dead_features': 6706}
Step 11900: {'loss': 24452.310546875, 'mse_loss': 1153.6583251953125, 'sparsity_loss': 23298.65234375, 'l0': 3072.779296875, 'dead_features': 6757}
Step 12000: {'loss': 26237.41015625, 'mse_loss': 1385.3663330078125, 'sparsity_loss': 24852.04296875, 'l0': 3172.90625, 'dead_features': 6917}
Step 12100: {'loss': 21680.869140625, 'mse_loss': 1114.596923828125, 'sparsity_loss': 20566.271484375, 'l0': 2888.18896484375, 'dead_features': 7103}
Step 12200: {'loss': 22577.478515625, 'mse_loss': 1275.2401123046875, 'sparsity_loss': 21302.23828125, 'l0': 2939.05712890625, 'dead_features': 7297}
Step 12300: {'loss': 24988.962890625, 'mse_loss': 776.281982421875, 'sparsity_loss': 24212.681640625, 'l0': 3132.0849609375, 'dead_features': 7469}
Step 12400: {'loss': 22573.923828125, 'mse_loss': 1134.509033203125, 'sparsity_loss': 21439.4140625, 'l0': 2948.44091796875, 'dead_features': 7648}
Step 12500: {'loss': 24994.177734375, 'mse_loss': 1558.127197265625, 'sparsity_loss': 23436.05078125, 'l0': 3081.767578125, 'dead_features': 7796}
Step 12600: {'loss': 22496.4375, 'mse_loss': 1041.6895751953125, 'sparsity_loss': 21454.748046875, 'l0': 2949.48779296875, 'dead_features': 7910}
Step 12700: {'loss': 24332.982421875, 'mse_loss': 1437.980224609375, 'sparsity_loss': 22895.001953125, 'l0': 3046.21875, 'dead_features': 7998}
Step 12800: {'loss': 22902.41015625, 'mse_loss': 1184.8939208984375, 'sparsity_loss': 21717.515625, 'l0': 2967.37255859375, 'dead_features': 8139}
Step 12900: {'loss': 23411.123046875, 'mse_loss': 1230.442626953125, 'sparsity_loss': 22180.6796875, 'l0': 2998.6357421875, 'dead_features': 8232}
Step 13000: {'loss': 22767.802734375, 'mse_loss': 1050.166259765625, 'sparsity_loss': 21717.63671875, 'l0': 2967.380859375, 'dead_features': 8455}
Step 13100: {'loss': 23263.724609375, 'mse_loss': 859.2398071289062, 'sparsity_loss': 22404.484375, 'l0': 3013.62548828125, 'dead_features': 8564}
Step 13200: {'loss': 25200.048828125, 'mse_loss': 1009.1343994140625, 'sparsity_loss': 24190.9140625, 'l0': 3130.685546875, 'dead_features': 8680}
Step 13300: {'loss': 24575.5, 'mse_loss': 873.133056640625, 'sparsity_loss': 23702.3671875, 'l0': 3099.11474609375, 'dead_features': 8842}
Step 13400: {'loss': 24927.83984375, 'mse_loss': 785.7044677734375, 'sparsity_loss': 24142.134765625, 'l0': 3127.5478515625, 'dead_features': 9102}
Step 13500: {'loss': 22176.6796875, 'mse_loss': 1190.4967041015625, 'sparsity_loss': 20986.18359375, 'l0': 2917.32177734375, 'dead_features': 9232}
Step 13600: {'loss': 24605.572265625, 'mse_loss': 1275.1204833984375, 'sparsity_loss': 23330.451171875, 'l0': 3074.86181640625, 'dead_features': 9316}
Step 13700: {'loss': 22599.04296875, 'mse_loss': 1046.732421875, 'sparsity_loss': 21552.310546875, 'l0': 2956.14111328125, 'dead_features': 9417}
Step 13800: {'loss': 24863.873046875, 'mse_loss': 1015.6095581054688, 'sparsity_loss': 23848.263671875, 'l0': 3108.57666015625, 'dead_features': 9386}
Step 13900: {'loss': 25535.892578125, 'mse_loss': 1505.646728515625, 'sparsity_loss': 24030.24609375, 'l0': 3120.33837890625, 'dead_features': 9386}
Step 14000: {'loss': 23623.59765625, 'mse_loss': 933.4146728515625, 'sparsity_loss': 22690.18359375, 'l0': 3032.65234375, 'dead_features': 9560}
Step 14100: {'loss': 24252.8046875, 'mse_loss': 1404.693603515625, 'sparsity_loss': 22848.111328125, 'l0': 3043.1181640625, 'dead_features': 9776}
Step 14200: {'loss': 26274.2109375, 'mse_loss': 1122.3885498046875, 'sparsity_loss': 25151.822265625, 'l0': 3191.865234375, 'dead_features': 9928}
Step 14300: {'loss': 25152.7578125, 'mse_loss': 688.1387939453125, 'sparsity_loss': 24464.619140625, 'l0': 3148.23388671875, 'dead_features': 10092}
Step 14400: {'loss': 22589.5625, 'mse_loss': 1015.1376953125, 'sparsity_loss': 21574.42578125, 'l0': 2957.64697265625, 'dead_features': 10280}
Step 14500: {'loss': 22732.30859375, 'mse_loss': 896.0400390625, 'sparsity_loss': 21836.267578125, 'l0': 2975.419921875, 'dead_features': 10409}
Step 14600: {'loss': 21675.560546875, 'mse_loss': 996.5579833984375, 'sparsity_loss': 20679.001953125, 'l0': 2896.0390625, 'dead_features': 10516}
Step 14700: {'loss': 24989.68359375, 'mse_loss': 1244.625244140625, 'sparsity_loss': 23745.05859375, 'l0': 3101.88623046875, 'dead_features': 10572}
Step 14800: {'loss': 20922.560546875, 'mse_loss': 1054.4449462890625, 'sparsity_loss': 19868.115234375, 'l0': 2839.0859375, 'dead_features': 10741}
Step 14900: {'loss': 28244.61328125, 'mse_loss': 1221.78466796875, 'sparsity_loss': 27022.828125, 'l0': 3307.72412109375, 'dead_features': 10848}
Step 15000: {'loss': 24947.201171875, 'mse_loss': 1460.78369140625, 'sparsity_loss': 23486.41796875, 'l0': 3085.0556640625, 'dead_features': 11019}
Step 15100: {'loss': 24314.837890625, 'mse_loss': 757.2581787109375, 'sparsity_loss': 23557.580078125, 'l0': 3089.69580078125, 'dead_features': 11174}
Step 15200: {'loss': 22399.12890625, 'mse_loss': 1336.3406982421875, 'sparsity_loss': 21062.7890625, 'l0': 2922.60498046875, 'dead_features': 11320}
Step 15300: {'loss': 21831.8203125, 'mse_loss': 1146.975830078125, 'sparsity_loss': 20684.84375, 'l0': 2896.4453125, 'dead_features': 11475}
Step 15400: {'loss': 22077.341796875, 'mse_loss': 996.22998046875, 'sparsity_loss': 21081.111328125, 'l0': 2923.8671875, 'dead_features': 11567}
Step 15500: {'loss': 37838.60546875, 'mse_loss': 16868.298828125, 'sparsity_loss': 20970.306640625, 'l0': 2916.2255859375, 'dead_features': 11705}
Step 15600: {'loss': 24642.814453125, 'mse_loss': 852.6934814453125, 'sparsity_loss': 23790.12109375, 'l0': 3104.80908203125, 'dead_features': 11812}
Step 15700: {'loss': 25098.056640625, 'mse_loss': 1486.016845703125, 'sparsity_loss': 23612.0390625, 'l0': 3093.24169921875, 'dead_features': 11809}
Step 15800: {'loss': 22548.0703125, 'mse_loss': 889.204345703125, 'sparsity_loss': 21658.865234375, 'l0': 2963.39013671875, 'dead_features': 11978}
Step 15900: {'loss': 22241.22265625, 'mse_loss': 1179.544677734375, 'sparsity_loss': 21061.677734375, 'l0': 2922.5283203125, 'dead_features': 12020}
Step 16000: {'loss': 24168.2890625, 'mse_loss': 1479.887939453125, 'sparsity_loss': 22688.400390625, 'l0': 3032.53369140625, 'dead_features': 12122}
Step 16100: {'loss': 22388.12890625, 'mse_loss': 1265.6346435546875, 'sparsity_loss': 21122.494140625, 'l0': 2926.7158203125, 'dead_features': 12126}
Step 16200: {'loss': 26502.4296875, 'mse_loss': 629.93505859375, 'sparsity_loss': 25872.494140625, 'l0': 3236.98583984375, 'dead_features': 12349}
Step 16300: {'loss': 22474.1484375, 'mse_loss': 1437.21630859375, 'sparsity_loss': 21036.931640625, 'l0': 2920.82275390625, 'dead_features': 12465}
Step 16400: {'loss': 26248.3359375, 'mse_loss': 894.395751953125, 'sparsity_loss': 25353.939453125, 'l0': 3204.583984375, 'dead_features': 12595}
Step 16500: {'loss': 24273.96875, 'mse_loss': 910.3739624023438, 'sparsity_loss': 23363.595703125, 'l0': 3077.03076171875, 'dead_features': 12692}
Step 16600: {'loss': 24251.859375, 'mse_loss': 1021.3565673828125, 'sparsity_loss': 23230.501953125, 'l0': 3068.31103515625, 'dead_features': 12723}
Step 16700: {'loss': 23834.4609375, 'mse_loss': 1345.3583984375, 'sparsity_loss': 22489.1015625, 'l0': 3019.2734375, 'dead_features': 12803}
Step 16800: {'loss': 23662.26953125, 'mse_loss': 1224.577392578125, 'sparsity_loss': 22437.69140625, 'l0': 3015.84326171875, 'dead_features': 12718}
Step 16900: {'loss': 26516.158203125, 'mse_loss': 1162.442626953125, 'sparsity_loss': 25353.71484375, 'l0': 3204.56982421875, 'dead_features': 12700}
Step 17000: {'loss': 23205.3203125, 'mse_loss': 1011.1131591796875, 'sparsity_loss': 22194.20703125, 'l0': 2999.5439453125, 'dead_features': 12825}
Step 17100: {'loss': 21302.09375, 'mse_loss': 1054.6531982421875, 'sparsity_loss': 20247.44140625, 'l0': 2865.8701171875, 'dead_features': 12843}
Step 17200: {'loss': 23183.46484375, 'mse_loss': 1124.12060546875, 'sparsity_loss': 22059.34375, 'l0': 2990.4775390625, 'dead_features': 12999}
Step 17300: {'loss': 22022.833984375, 'mse_loss': 1156.939697265625, 'sparsity_loss': 20865.89453125, 'l0': 2909.00634765625, 'dead_features': 13134}
Step 17400: {'loss': 25160.87109375, 'mse_loss': 519.580078125, 'sparsity_loss': 24641.291015625, 'l0': 3159.5087890625, 'dead_features': 13323}
Step 17500: {'loss': 21858.21484375, 'mse_loss': 1232.8447265625, 'sparsity_loss': 20625.37109375, 'l0': 2892.30712890625, 'dead_features': 13295}
